ProducerRecord(topic=test, partition=null, key=null, value=/subject/111876!@#9.99澳元!@#$9.99!@#1话 / 2008年9月4日 / 塔蒂亚·罗森娜尔!@#http://lain.bgm.tv/pic/cover/s/2b/7d/111876_55Lzv.jpg!@#http://bangumi.tv/subject/111876
ProducerRecord(topic=test, partition=null, key=null, value=/subject/209766!@#'07戦争童話 ふたつの胡桃!@#o_o ....!@#1话 / 2007-08-15!@#http://lain.bgm.tv/pic/cover/s/7e/53/209766_lmCc6.jpg!@#http://bangumi.tv/subject/209766
ProducerRecord(topic=test, partition=null, key=null, value=/subject/209692!@#'08戦争童話 キクちゃんとオオカミ!@#o_o ....!@#1话 / 2008-08-13!@#http://lain.bgm.tv/pic/cover/s/79/dc/209692_oooc2.jpg!@#http://bangumi.tv/subject/209692
ProducerRecord(topic=test, partition=null, key=null, value=/subject/136901!@#'A'!@#o_o ....!@#1965-02-01 / 尚·连尼卡!@#http://lain.bgm.tv/pic/cover/s/37/82/136901_480qR.jpg!@#http://bangumi.tv/subject/136901
ProducerRecord(topic=test, partition=null, key=null, value=/subject/19021!@#+模型姐妹!@#+チック姉さん!@#12话 / 2012年8月22日 / 水島努 / 栗井茶（掲載「ヤングガンガン」スクウェア?エニックス刊） / 木野下澄江!@#http://lain.bgm.tv/pic/cover/s/15/9f/19021_QzX5k.jpg!@#http://bangumi.tv/subject/19021
ProducerRecord(topic=test, partition=null, key=null, value=/subject/219641!@#忍空 小刀的墓标!@#-NINKU- 忍空 ナイフの墓標!@#1994年10月!@#http://lain.bgm.tv/pic/cover/s/7f/39/219641_M33Zj.jpg!@#http://bangumi.tv/subject/219641
ProducerRecord(topic=test, partition=null, key=null, value=/subject/68953!@#.hack//G.U. Returner!@#o_o ....!@#1话 / 2007年1月18日!@#http://lain.bgm.tv/pic/cover/s/31/de/68953_18id1.jpg!@#http://bangumi.tv/subject/68953
ProducerRecord(topic=test, partition=null, key=null, value=/subject/40932!@#.hack//G.U. TRILOGY!@#o_o ....!@#2007年12月22日 / 松山洋!@#http://lain.bgm.tv/pic/cover/s/9a/9b/40932_nTNP6.jpg!@#http://bangumi.tv/subject/40932
ProducerRecord(topic=test, partition=null, key=null, value=/subject/68973!@#.hack//GIFT!@#o_o ....!@#1话 / 2002年!@#http://lain.bgm.tv/pic/cover/s/02/6a/68973_Ma5zH.jpg!@#http://bangumi.tv/subject/68973
ProducerRecord(topic=test, partition=null, key=null, value=/subject/68972!@#.hack//Integration!@#o_o ....!@#1话 / 2002年!@#http://lain.bgm.tv/pic/cover/s/c6/16/68972_1ZU46.jpg!@#http://bangumi.tv/subject/68972
ProducerRecord(topic=test, partition=null, key=null, value=/subject/11875!@#.hack//境界线!@#.hack//Liminality!@#4话 / 2002年6月20日 / project .hack!@#http://lain.bgm.tv/pic/cover/s/a6/31/11875_0ihlI.jpg!@#http://bangumi.tv/subject/11875
ProducerRecord(topic=test, partition=null, key=null, value=/subject/11715!@#.hack//Quantum!@#.hack//Quantum!@#3话 / 2011年1月28日 / .hack　Conglomerate!@#http://lain.bgm.tv/pic/cover/s/fb/f6/11715_alE9w.jpg!@#http://bangumi.tv/subject/11715
ProducerRecord(topic=test, partition=null, key=null, value=/subject/1996!@#.hack//根源!@#.hack//Roots!@#26话 / 2006年4月5日 / 真下耕一 / 大澤聡!@#http://lain.bgm.tv/pic/cover/s/63/51/1996_7G0eD.jpg!@#http://bangumi.tv/subject/1996
